dataset,algorithm,pair,delta_mag_l1,delta_topk_frac,delta_entropy,rank_overlap_mean,rank_overlap_median,delta_js,dce,bac,codf_fix,codf_reg,delta_stability_sigma001,delta_stability_sigma005,baseline_sens_delta_mag_pct,baseline_sens_delta_topk_pct
breast_cancer,gb,pair2,5.517600964825541,0.9637523986188459,2.04176700240287,0.751698593803857,0.8181818181818182,0.03692958442405767,1.2702886622194993,-0.10175552272403023,,,35.846925043510566,17.35497699658001,-14.844443459294313,0.49572104672560446
breast_cancer,gb,pair3,17.492118729297193,0.9851170813684809,1.6197915976996458,0.38409891621965925,0.42857142857142855,0.3569094836371938,11.453277943265697,0.3504085935147122,0.8750587121662197,0.8582339756134955,167.1209759501654,82.7740581330942,-14.124014407757201,0.09616417458237185
breast_cancer,knn,pair1,61.015803816618906,0.37607340356705987,0.6810245855056929,0.7593679932159645,1.0,0.1302500039224278,57.01644843516993,0.6014357731387572,0.40434973649788464,0.48137703067455706,1906.7409034373663,433.06467744826017,-3.608294847403949,2.317866199216665
breast_cancer,knn,pair2,0.30877670099154014,0.2641654464914044,0.7019912136552632,0.8649912179323943,1.0,0.0062966757226602214,0.21784010250065838,0.5147414346564607,,,7.089217043585213,1.4162109429117518,-10.08698918256764,9.156811436989702
breast_cancer,knn,pair3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
wine,logreg,pair1,2.6252968933129357,0.9758588527528254,2.03294446086615,0.8333333333333331,0.8181818181818182,0.014600152071470446,0.5216216299641646,0.4471262708771347,0.8891442290751107,,1.1210645720357049,1.1399648248809156,-2.185115913895303,0.2948417373815379
wine,logreg,pair2,2.8213216618484096,0.9851307658961819,1.9289794998170195,0.7752525252525253,0.8181818181818182,0.06004452890676442,0.304277166759636,0.2700577195682169,,0.8188608537595063,1.1922771051308398,1.2037188470040177,-0.07451035094650071,0.026507503331065625
wine,logreg,pair3,0.0215418858527939,0.9719910216617669,2.1540647849532757,1.0,1.0,4.202980113357447e-05,0.015558605197533885,-0.5227430490123588,,,0.01478653845211799,0.01539264278653755,-1.6618187731658745,0.4813315742840991
wine,svc,pair1,0.09111590736526239,0.9735637927305842,1.9848079152648799,0.7952602952602952,0.8181818181818182,0.06409915879672749,0.06789408099034293,-0.11052476522814916,0.8370013336470937,0.7985310131116985,0.12501873727369367,0.15802792425604514,-2.838713956437853,0.2897148378479839
wine,svc,pair2,6.044547578514741e-16,0.0005659747888631875,0.27041200535718574,1.0,1.0,-5.817105167997407e-19,4.810966440042345e-16,0.9557626830524906,,,3.504631622345486e-14,6.9945607419140594e-15,0.0012328359449198347,-4.385926989727061
wine,svc,pair3,0.1505426358845884,0.9789548987492618,2.035929912612721,0.7696192696192694,0.8181818181818182,0.06998231704271202,0.10034353084439489,0.2315040832454299,0.8311961832264954,,0.44165641421504614,0.2705261724341924,0.6151629549547283,0.03597116783626329
wine,rf,pair1,29.75790636045021,0.9999999999995202,1.1118324014750516,0.9065656565656567,1.0,0.08206238280978752,24.313526090904038,0.8968566312463306,,,21.738323498433406,91.7054778321804,-30.99854100097649,-2.928768338959639e-11
wine,rf,pair2,10.933308687626587,0.999734122088926,0.7594537815845753,0.9898989898989901,1.0,0.005198795703777261,8.002938915009137,0.9778536551022973,,,0.10486524276215775,18.30163898272106,-26.37726063187043,0.0012600599182275365
wine,rf,pair3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
wine,gb,pair1,4.491566874782987,0.999999999999342,0.44485953276809326,0.9654882154882153,1.0,0.017901991845569308,3.5156910795682803,-0.042797875571057076,,,0.920894904578788,5.4593067218240545,-2.609694166292311,-6.439293542823705e-12
wine,gb,pair2,2.610948518777202,0.9999999999974941,0.3404985827607167,0.9747474747474748,1.0,0.007047563366138751,2.4259910794187425,-0.15533688517093383,,,0.5427473725737841,3.580352890822747,-1.0794574790378457,-7.649436639678848e-12
